카드이용내역,,,,,,,,,,,,,,
■ 카드이용내역 요약,,,,,,,,,,,,,,
조회기간,사용처구분,정상∙취소 구분,이용구분,건수합계,금액합계(원),,,,,,,,,
2024.12.03~2025.12.02,전체,전체,전체,933건,"16,617,923",,,,,,,,,
■ 국내이용내역 상세,,,,,,,,,,,,,,
이용일자,이용시간,이용카드,이용가맹점,업종,이용금액,이용구분,할부개월,승인번호,취소여부,취소일자,취소금액,포인트사용,온누리상품권사용금액,매입여부
2025.10.08,21:29,본인 우리은행 포인트플러스 GRANDE(9*3*),씨제이올리브영(주)고척아이파크몰점,화장품,"19,900",일시불,-,30472688,N,,0,0,0,Y
2025.10.08,16:20,본인 우리은행 포인트플러스 GRANDE(9*3*),인터넷상거래_에스케이텔레콤(주),PG(온라인),990,일시불,-,56269687,N,,0,0,0,Y
2025.10.08,15:26,본인 우리은행 포인트플러스 GRANDE(9*3*),맥도날드 고척DT점,패스트푸드점,"12,500",일시불,-,29715686,N,,0,0,0,Y
2025.10.08,12:06,본인 우리은행 포인트플러스 GRANDE(9*3*),스타벅스_충전_에스씨케이컴,상품권(온라인),"10,000",일시불,-,42247685,N,,0,0,0,Y
2025.10.07,22:40,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)하나음향 보가코인노래연습장,노래방,"3,300",일시불,-,58813684,N,,0,0,0,Y
2025.10.07,21:40,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)하나음향 보가코인노래연습장,노래방,"5,500",일시불,-,67785683,N,,0,0,0,Y
2025.10.07,21:36,본인 우리은행 포인트플러스 GRANDE(9*3*),GS25고척점,편의점,700,일시불,-,50797682,N,,0,0,0,Y
2025.10.07,12:57,본인 우리은행 포인트플러스 GRANDE(9*3*),쿠우쿠우 구로점,일식(횟집),"34,900",일시불,-,48709681,N,,0,0,0,Y
2025.10.07,0:17,본인 우리은행 포인트플러스 GRANDE(9*3*),인터넷상거래_주식회사 와이즐리컴퍼니,PG(온라인),"58,550",일시불,-,50069680,N,,0,0,0,Y
2025.10.05,20:07,본인 우리은행 포인트플러스 GRANDE(9*3*),씨유(CU)신원프라자점,편의점,"2,400",일시불,-,43170679,N,,0,0,0,Y
2025.10.05,18:02,본인 우리은행 포인트플러스 GRANDE(9*3*),씨유(CU)신원프라자점,편의점,"2,050",일시불,-,36193678,N,,0,0,0,Y
2025.10.05,0:52,본인 우리은행 포인트플러스 GRANDE(9*3*),GS25 고척사랑점,편의점,"8,500",일시불,-,45173677,N,,0,0,0,Y
2025.10.05,0:32,본인 우리은행 포인트플러스 GRANDE(9*3*),금별맥주 동양미래대점,호프/소주,"25,900",일시불,-,41146676,N,,0,0,0,Y
2025.10.04,22:26,본인 우리은행 포인트플러스 GRANDE(9*3*),GS25 고척사랑점,편의점,"1,100",일시불,-,69027675,N,,0,0,0,Y
2025.10.03,21:25,본인 우리은행 포인트플러스 GRANDE(9*3*),세븐일레븐 고척점,편의점,"5,000",일시불,-,41615674,N,,0,0,0,Y
2025.10.03,21:05,본인 우리은행 포인트플러스 GRANDE(9*3*),육회바른연어 고척스카이점,한식(한정식),"15,400",일시불,-,62580673,N,,0,0,0,Y
2025.10.02,17:52,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)우아한형제들_주식회사 우아,PG(온라인),"12,000",일시불,-,48594672,N,,0,0,0,Y
2025.10.01,23:23,본인 우리은행 포인트플러스 GRANDE(9*3*),이마트24 R고척중앙점,편의점,"9,700",일시불,-,44927671,N,,0,0,0,Y
2025.10.01,9:26,본인 우리은행 포인트플러스 GRANDE(9*3*),인터넷상거래_주식회사 인프랩,PG(온라인),"38,900",일시불,-,36256670,N,,0,0,0,Y
2025.09.28,22:53,본인 우리은행 포인트플러스 GRANDE(9*3*),CJ CGV_상품_오프라인,PG(오프라인),"5,000",일시불,-,51804669,N,,0,0,0,Y
2025.09.28,20:13,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)에스케이플래닛_문화비_Cul_에스케이 플,PG(온라인),"7,500",일시불,-,45138668,N,,0,0,0,Y
2025.09.28,15:37,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)에스케이플래닛_문화비,PG(온라인),"8,000",일시불,-,47737667,Y,2025.09.28,"-8,000",,0,N
2025.09.28,15:15,본인 우리은행 포인트플러스 GRANDE(9*3*),에이치디씨현대산업개발(주)고척아이파크쇼핑센터,백화점,"4,000",일시불,-,20748666,N,,0,0,0,Y
2025.09.28,15:09,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)교보문고,서적(서점),100,일시불,-,64593665,N,,0,0,0,Y
2025.09.28,15:09,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)교보문고,서적(서점),"40,000",일시불,-,50946664,N,,0,0,0,Y
2025.09.28,14:33,본인 우리은행 포인트플러스 GRANDE(9*3*),샤브향기 주식회사,한식(한정식),"15,900",일시불,-,41423663,N,,0,0,0,Y
2025.09.27,19:31,본인 우리은행 포인트플러스 GRANDE(9*3*),미분당 고척점,기타일반음식,"9,500",일시불,-,57666662,N,,0,0,0,Y
2025.09.27,10:46,본인 우리은행 포인트플러스 GRANDE(9*3*),스타벅스코리아,커피전문점,"6,700",일시불,-,33022661,N,,0,0,0,Y
2025.09.27,10:37,본인 우리은행 포인트플러스 GRANDE(9*3*),신선설농탕 고척점,한식(한정식),"12,000",일시불,-,54382660,N,,0,0,0,Y
2025.09.26,19:14,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)하나음향 보가코인노래연습장,노래방,"2,000",일시불,-,25691659,N,,0,0,0,Y
2025.09.25,17:19,본인 우리은행 포인트플러스 GRANDE(9*3*),우아한형제들_주식회사우,PG(온라인),"26,500",일시불,-,60062658,N,,0,0,0,Y
2025.09.23,8:58,본인 우리은행 포인트플러스 GRANDE(9*3*),GS25 고척사랑점,편의점,"4,100",일시불,-,39728657,N,,0,0,0,Y
2025.09.23,8:56,본인 우리은행 포인트플러스 GRANDE(9*3*),파리바게트 고척시장점,제과점/아이스크림점,"3,300",일시불,-,41737656,N,,0,0,0,Y
2025.09.22,21:35,본인 우리은행 포인트플러스 GRANDE(9*3*),우아한형제들_주식회사우,PG(온라인),"32,000",일시불,-,39001655,N,,0,0,0,Y
2025.09.21,15:14,본인 우리은행 포인트플러스 GRANDE(9*3*),이마트24 R고척중앙점,편의점,"1,000",일시불,-,59666654,N,,0,0,0,Y
2025.09.21,14:55,본인 우리은행 포인트플러스 GRANDE(9*3*),이마트24 R고척중앙점,편의점,"8,000",일시불,-,47054653,N,,0,0,0,Y
2025.09.20,21:27,본인 우리은행 포인트플러스 GRANDE(9*3*),세븐일레븐 M신도림역점,편의점,"1,200",일시불,-,27101652,N,,0,0,0,Y
